"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"hodgedm01","220","DMoi Hodge","SG","25","Los Angeles Lakers","7","0","41"
"holidaa01","221","Aaron Holiday","PG","27","Houston Rockets","78","1","1269"
"holidjr01","222","Jrue Holiday","PG","33","Boston Celtics","69","69","2263"
"holidju01","223","Justin Holiday","SG","34","Denver Nuggets","58","9","862"
"holmeri01","224","Richaun Holmes","C","30","Dallas Mavericks","23","2","237"
"holmeri01","224","Richaun Holmes","PF","30","Washington Wizards","17","8","318"
"holmgch01","225","Chet Holmgren","C","21","Oklahoma City Thunder","82","82","2413"
"hoodsja01","226","Jalen Hood-Schifino","SG","20","Los Angeles Lakers","21","0","109"
"horfoal01","227","Al Horford","C","37","Boston Celtics","65","33","1740"
"hortota01","228","Talen Horton-Tucker","PG","23","Utah Jazz","51","11","1009"
"houseda01","229","Danuel House Jr.","SF","30","Philadelphia 76ers","34","4","509"
"houstca01","230","Caleb Houstan","SF","21","Orlando Magic","59","13","815"
"howarje01","231","Jett Howard","SF","20","Orlando Magic","18","0","67"
"huertke01","232","Kevin Huerter","SG","25","Sacramento Kings","64","59","1562"
"huffja01","233","Jay Huff","C","25","Denver Nuggets","20","0","49"
"huntede01","234","DeAndre Hunter","SF","26","Atlanta Hawks","57","37","1681"
"hurtma01","235","Matthew Hurt","PF","23","Memphis Grizzlies","8","0","113"
"hylanbo01","236","Bones Hyland","PG","23","Los Angeles Clippers","37","5","540"
"inglejo01","237","Joe Ingles","SF","36","Orlando Magic","68","0","1169"
"ingrabr01","238","Brandon Ingram","SF","26","New Orleans Pelicans","64","64","2103"
"irvinky01","239","Kyrie Irving","SG","31","Dallas Mavericks","58","58","2030"
"isaacjo01","240","Jonathan Isaac","PF","26","Orlando Magic","58","2","914"
"iveyja01","241","Jaden Ivey","SG","21","Detroit Pistons","77","61","2217"
"jacksan01","242","Andre Jackson Jr.","SG","22","Milwaukee Bucks","57","8","572"
"jacksgg01","243","GG Jackson II","PF","19","Memphis Grizzlies","48","18","1233"
