"id_player","ranked","player_name","player_position","age","team","field_goal","field_goal_attempts","three_points","three_points_attempts","two_points","two_points_attempts","free_throws","free_throws_attempts","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points"
"wiggian01","545","Andrew Wiggins","SF","28","Golden State Warriors","353","780","91","254","262","526","142","189","108","213","321","119","42","41","87","147","939"
"wiggili01","546","Lindell Wigginton","PG","25","Milwaukee Bucks","2","5","0","2","2","3","2","2","0","0","0","0","0","0","1","1","6"
"willial06","547","Alondes Williams","SG","24","Miami Heat","2","8","0","4","2","4","1","1","0","1","1","0","0","1","2","2","5"
"willibr03","548","Brandon Williams","PG","24","Dallas Mavericks","20","54","3","15","17","39","11","17","4","9","13","17","1","1","7","4","54"
"willigr01","549","Grant Williams","PF","25","Dallas Mavericks","131","317","79","210","52","107","41","55","46","123","169","81","24","27","53","137","382"
"willigr01","549","Grant Williams","PF","25","Charlotte Hornets","145","288","47","126","98","162","65","85","40","109","149","93","20","12","56","89","402"
"willija06","550","Jalen Williams","PF","22","Oklahoma City Thunder","536","993","103","241","433","752","180","221","37","245","282","322","80","45","123","175","1355"
"willija07","551","Jaylin Williams","C","21","Oklahoma City Thunder","95","228","53","144","42","84","33","41","36","198","234","110","28","27","34","98","276"
"willije02","552","Jeenathan Williams","SG","24","Houston Rockets","27","50","2","5","25","45","7","13","12","11","23","7","4","1","4","10","63"
"willike04","553","Kenrich Williams","PF","29","Oklahoma City Thunder","131","280","56","141","75","139","7","14","61","148","209","93","38","9","32","101","325"
"willima11","554","Malik Williams","C","25","Toronto Raptors","9","34","1","5","8","29","0","2","15","23","38","2","3","4","3","15","19"
"willima07","555","Mark Williams","C","22","Charlotte Hornets","98","151","0","0","98","151","46","64","76","108","184","22","16","20","17","50","242"
